,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
1603,3991,09/06/2010,2010,1, Virginia Tech, Boise State,30,33, Boise State,-3,4,-3,-2,1,-1.0,-8.0,-29.0,-4.0,-50.0,20.0,-40.0,520.0,2.0,0.0,-16.0
1604,3994,09/09/2010,2010,1, Temple, Central Michigan,13,10, Temple,3,4,-2,-2,-1,1.0,-9.0,-148.0,-3.0,-24.0,3.0,71.0,-200.0,-2.0,-2.0,-13.0
1605,3995,09/10/2010,2010,1, Houston, UTEP,54,24, Houston,30,11,-5,0,0,0.0,-6.0,8.0,-5.0,-39.0,21.0,208.0,-262.0,-2.0,1.0,-21.0
1606,3996,09/10/2010,2010,1, Marshall, West Virginia,21,24, West Virginia,-3,-5,-4,-3,-1,-1.0,-12.0,-87.0,-1.0,1.0,-15.0,-18.0,-450.0,-2.0,0.0,-16.0
1607,3997,09/11/2010,2010,1, SMU, UAB,28,7, SMU,21,5,-3,0,-1,0.0,6.0,21.0,-2.0,-22.0,5.0,139.0,790.0,-2.0,-1.0,8.0
1608,4001,09/11/2010,2010,1, Tulsa, Bowling Green,33,20, Tulsa,13,6,5,5,-1,1.0,-2.0,94.0,-5.0,-51.0,15.0,149.0,210.0,-1.0,-2.0,8.0
1609,4002,09/11/2010,2010,1, Air Force, BYU,35,14, Air Force,21,12,4,4,1,-2.0,-5.0,-20.0,3.0,80.0,31.0,188.0,838.0,0.0,0.0,-12.0
1610,4003,09/11/2010,2010,1, Baylor, Buffalo,34,6, Baylor,28,3,-3,0,0,0.0,4.0,157.0,8.0,77.0,3.0,11.0,92.0,-1.0,0.0,-10.0
1611,4005,09/11/2010,2010,1, Nevada, Colorado State,51,6, Nevada,45,14,-1,7,0,0.0,0.0,61.0,3.0,20.0,15.0,298.0,388.0,-4.0,-1.0,-3.0
1612,4006,09/11/2010,2010,1, California, Colorado,52,7, California,45,3,-7,-4,-1,-2.0,-3.0,31.0,-3.0,-21.0,-6.0,86.0,-270.0,1.0,-3.0,-10.0
